frame,label,confidence,x1,y1,x2,y2
57,construction,0.454,0,1207,580,1440
473,construction,0.254,1701,1301,1912,1440
531,construction,0.337,1421,1210,1899,1440
551,construction,0.35,1595,1176,2037,1440
556,construction,0.326,1574,1214,2008,1440
587,construction,0.271,224,1236,724,1440
588,construction,0.274,173,1230,737,1440
596,construction,0.423,1148,703,1277,757
597,construction,0.287,1144,706,1274,762
605,construction,0.429,1132,734,1289,800
606,construction,0.259,1127,737,1291,809
608,construction,0.294,1585,766,1729,821
633,construction,0.52,1414,1092,1891,1431
634,construction,0.27,1400,1124,2036,1440
635,construction,0.253,1377,1185,2155,1440
761,construction,0.34,1417,1100,1858,1440
763,construction,0.396,1465,1190,1985,1440
778,construction,0.348,1945,1327,2156,1440
801,construction,0.466,1568,964,1717,1036
803,construction,0.414,1625,1024,1751,1101
825,debris,0.314,1622,982,1679,1028
908,construction,0.338,285,709,421,767
980,construction,0.317,1375,1225,2117,1440
981,construction,0.415,1428,1244,2168,1440
1193,construction,0.408,1533,1258,1805,1440
1278,construction,0.268,401,917,802,1103
1279,construction,0.367,357,950,780,1146
1280,construction,0.669,311,958,740,1164
1281,construction,0.558,247,995,696,1215
1282,construction,0.74,173,1012,675,1232
1283,construction,0.672,97,1021,634,1275
1283,construction,0.256,75,1028,628,1440
1284,construction,0.66,0,1059,592,1326
1285,construction,0.453,1,1076,534,1379
1285,construction,0.34,1521,1273,1846,1440
1286,construction,0.575,6,1068,478,1406
1287,construction,0.832,0,1144,413,1430
1288,construction,0.28,0,1175,346,1418
1315,construction,0.298,1941,1234,2273,1440
1316,construction,0.599,2010,1303,2286,1440
1317,construction,0.34,1431,1235,1758,1440
1336,construction,0.481,1364,996,1550,1142
1338,construction,0.525,1377,1055,1602,1233
1339,construction,0.391,1382,1075,1630,1272
1340,construction,0.479,1394,1103,1665,1323
1341,construction,0.256,1398,1153,1689,1440
1342,construction,0.458,1423,1196,1738,1440
1343,construction,0.518,1428,1247,1744,1440
1361,construction,0.303,1986,1288,2199,1440
1395,construction,0.319,1227,699,1369,785
1414,construction,0.263,8,1240,612,1440
